cor,se,CI
0.45006826483036827,0.02525513249480988,0
0.55164386531259,0.02203269314531151,0
0.5168527540929588,0.023210011388011223,1
0.47253233411408135,0.024598753638315814,1
0.510924918034566,0.023402962721214553,1
0.5224970205608247,0.02302422167843878,1
0.49085516496340587,0.024039709626631045,1
0.5092810044992686,0.023456077971528926,1
0.5111905745253491,0.02339436322868761,1
0.5120177339078821,0.02336755885406155,1
0.5049769822166301,0.023594331227522802,1
0.5026304643935956,0.023669211539739343,1
0.49836339826329684,0.023804485189936764,1
0.5080859462588523,0.023494583147913608,1
0.463310082753103,0.02487208665943825,1
0.5203304252505002,0.02309577712102982,1
0.484914078688277,0.024223306552433186,1
0.4872349070040769,0.024151852269917038,1
0.4906841860939122,0.024045024618172678,1
0.47849897477863795,0.024419041621090917,1
0.47086137813939094,0.024648677756854902,1
0.5040644826966824,0.02362349166792481,1
0.5241245813891032,0.022970273182174327,1
0.5089595774431851,0.0234664433521294,1
0.5318986466867478,0.022710272746362545,1
0.523099833000184,0.02300425991547887,1
0.535710116806318,0.02258140119093387,1
0.5276949162054687,0.02285134012490696,1
0.5108964092915778,0.023403885304224683,1
0.5047562059963311,0.02360139133554208,1
0.49319451007936577,0.023966803547992018,1
0.4964455892272819,0.02386490752175884,1
0.5111216509984933,0.023396594762479506,1
0.5007926842518285,0.023727613858602028,1
0.4803617250104641,0.024362474696763014,1
0.4897365304371657,0.02407444954961264,1
0.4825350116280805,0.024296199787555383,1
0.5011770114647355,0.023715418118971775,1
0.49269751768890585,0.023982321396752763,1
0.5576347043746348,0.021822227751374244,0
0.4635788410041051,0.02486419729679359,1
0.5097777132831726,0.023440047235247587,1
0.5083791494823774,0.023485144416423614,1
0.46732292356883165,0.02475381442427115,1
0.501625809831553,0.02370116469394003,1
